"incident_id","created_at","customer_id","category","status","satisfaction_index","customer_email","contact_phone","notes"
"INC-0001","2026-06-02","CUST-1001","request","open","","customer1@example.com","+1-555-2001","sample row 1"
"INC-0002","2026-06-03","CUST-1002","operational_failure","closed","3.6","customer2@example.com","+1-555-2002","sample row 2"
"INC-0003","2026-06-04","CUST-1003","complaint","open","","customer3@example.com","+1-555-2003","sample row 3"
"INC-0004","2026-06-05","CUST-1004","request","closed","4","customer4@example.com","+1-555-2004","sample row 4"
"INC-0005","2026-06-06","CUST-1005","operational_failure","discarded","","customer5@example.com","+1-555-2005","sample row 5"
"INC-0006","2026-06-07","CUST-1006","complaint","closed","4.4","customer6@example.com","+1-555-2006","sample row 6"
"INC-0007","2026-06-08","CUST-1007","request","open","","customer7@example.com","+1-555-2007","sample row 7"
"INC-0008","2026-06-09","CUST-1008","operational_failure","closed","3.4","customer8@example.com","+1-555-2008","sample row 8"
"INC-0009","2026-06-10","CUST-1009","complaint","open","","customer9@example.com","+1-555-2009","sample row 9"
"INC-0010","2026-06-11","CUST-1010","request","discarded","","customer10@example.com","+1-555-2010","sample row 10"
"INC-0011","2026-06-12","CUST-1011","operational_failure","open","","customer11@example.com","+1-555-2011","sample row 11"
"INC-0012","2026-06-13","CUST-1012","complaint","closed","4.2","customer12@example.com","+1-555-2012","sample row 12"
"INC-0013","2026-06-14","CUST-1013","request","open","","customer13@example.com","+1-555-2013","sample row 13"
"INC-0014","2026-06-15","CUST-1014","operational_failure","closed","3.2","customer14@example.com","+1-555-2014","sample row 14"
"INC-0015","2026-06-16","CUST-1015","complaint","discarded","","customer15@example.com","+1-555-2015","sample row 15"
"INC-0016","2026-06-17","CUST-1016","request","closed","3.6","customer16@example.com","+1-555-2016","sample row 16"
"INC-0017","2026-06-18","CUST-1017","operational_failure","open","","customer17@example.com","+1-555-2017","sample row 17"
"INC-0018","2026-06-19","CUST-1018","complaint","closed","4","customer18@example.com","+1-555-2018","sample row 18"
"INC-0019","2026-06-20","CUST-1019","request","open","","customer19@example.com","+1-555-2019","sample row 19"
"INC-0020","2026-06-21","CUST-1020","operational_failure","discarded","","customer20@example.com","+1-555-2020","sample row 20"
"INC-0021","2026-06-22","CUST-1021","complaint","open","","customer21@example.com","+1-555-2021","sample row 21"
"INC-0022","2026-06-23","CUST-1022","request","closed","3.4","customer22@example.com","+1-555-2022","sample row 22"
"INC-0023","2026-06-24","CUST-1023","operational_failure","open","","customer23@example.com","+1-555-2023","sample row 23"
"INC-0024","2026-06-25","CUST-1024","complaint","closed","3.8","customer24@example.com","+1-555-2024","sample row 24"
"INC-0025","2026-06-26","CUST-1025","request","discarded","","customer25@example.com","+1-555-2025","sample row 25"
"INC-0026","2026-06-27","CUST-1026","operational_failure","closed","4.2","customer26@example.com","+1-555-2026","sample row 26"
"INC-0027","2026-06-28","CUST-1027","complaint","open","","customer27@example.com","+1-555-2027","sample row 27"
"INC-0028","2026-06-01","CUST-1028","request","closed","3.2","customer28@example.com","+1-555-2028","sample row 28"
"INC-0029","2026-06-02","CUST-1029","operational_failure","open","","customer29@example.com","+1-555-2029","sample row 29"
"INC-0030","2026-06-03","CUST-1030","complaint","discarded","","customer30@example.com","+1-555-2030","sample row 30"
"INC-0031","2026-06-04","CUST-1031","request","open","","customer31@example.com","+1-555-2031","sample row 31"
"INC-0032","2026-06-05","CUST-1032","operational_failure","closed","4","customer32@example.com","+1-555-2032","sample row 32"
"INC-0033","2026-06-06","CUST-1033","complaint","open","","customer33@example.com","+1-555-2033","sample row 33"
"INC-0034","2026-06-07","CUST-1034","request","closed","4.4","customer34@example.com","+1-555-2034","sample row 34"
"INC-0035","2026-06-08","CUST-1035","operational_failure","discarded","","customer35@example.com","+1-555-2035","sample row 35"
"INC-0036","2026-06-09","CUST-1036","complaint","closed","3.4","customer36@example.com","+1-555-2036","sample row 36"
"INC-0037","2026-06-10","CUST-1037","request","open","","customer37@example.com","+1-555-2037","sample row 37"
"INC-0038","2026-06-11","CUST-1038","operational_failure","closed","3.8","customer38@example.com","+1-555-2038","sample row 38"
"INC-0039","2026-06-12","CUST-1039","complaint","open","","customer39@example.com","+1-555-2039","sample row 39"
"INC-0040","2026-06-13","CUST-1040","request","discarded","","customer40@example.com","+1-555-2040","sample row 40"
"INC-0041","2026-06-14","CUST-1041","operational_failure","open","","customer41@example.com","+1-555-2041","sample row 41"
"INC-0042","2026-06-15","CUST-1042","complaint","closed","3.2","customer42@example.com","+1-555-2042","sample row 42"
"INC-0043","2026-06-16","CUST-1043","request","open","","customer43@example.com","+1-555-2043","sample row 43"
"INC-0044","2026-06-17","CUST-1044","operational_failure","closed","3.6","customer44@example.com","+1-555-2044","sample row 44"
"INC-0045","2026-06-18","CUST-1045","complaint","discarded","","customer45@example.com","+1-555-2045","sample row 45"
"INC-0046","2026-06-19","CUST-1046","request","closed","4","customer46@example.com","+1-555-2046","sample row 46"
"INC-0047","2026-06-20","CUST-1047","operational_failure","open","","customer47@example.com","+1-555-2047","sample row 47"
"INC-0048","2026-06-21","CUST-1048","complaint","closed","4.4","customer48@example.com","+1-555-2048","sample row 48"
"INC-0049","2026-06-22","CUST-1049","request","open","","customer49@example.com","+1-555-2049","sample row 49"
"INC-0050","2026-06-23","CUST-1050","operational_failure","discarded","","customer50@example.com","+1-555-2050","sample row 50"
"INC-0051","2026-06-24","CUST-1051","complaint","open","","customer51@example.com","+1-555-2051","sample row 51"
"INC-0052","2026-06-25","CUST-1052","request","closed","3.8","customer52@example.com","+1-555-2052","sample row 52"
"INC-0053","2026-06-26","CUST-1053","operational_failure","open","","customer53@example.com","+1-555-2053","sample row 53"
"INC-0054","2026-06-27","CUST-1054","complaint","closed","4.2","customer54@example.com","+1-555-2054","sample row 54"
"INC-0055","2026-06-28","CUST-1055","request","discarded","","customer55@example.com","+1-555-2055","sample row 55"
"INC-0056","2026-06-01","CUST-1056","operational_failure","closed","3.2","customer56@example.com","+1-555-2056","sample row 56"
"INC-0057","2026-06-02","CUST-1057","complaint","open","","customer57@example.com","+1-555-2057","sample row 57"
"INC-0058","2026-06-03","CUST-1058","request","closed","3.6","customer58@example.com","+1-555-2058","sample row 58"
"INC-0059","2026-06-04","CUST-1059","operational_failure","open","","customer59@example.com","+1-555-2059","sample row 59"
"INC-0060","2026-06-05","CUST-1060","complaint","discarded","","customer60@example.com","+1-555-2060","sample row 60"
"INC-0061","2026-06-06","CUST-1061","request","open","","customer61@example.com","+1-555-2061","sample row 61"
"INC-0062","2026-06-07","CUST-1062","operational_failure","closed","4.4","customer62@example.com","+1-555-2062","sample row 62"
"INC-0063","2026-06-08","CUST-1063","complaint","open","","customer63@example.com","+1-555-2063","sample row 63"
"INC-0064","2026-06-09","CUST-1064","request","closed","3.4","customer64@example.com","+1-555-2064","sample row 64"
"INC-0065","2026-06-10","CUST-1065","operational_failure","discarded","","customer65@example.com","+1-555-2065","sample row 65"
"INC-0066","2026-06-11","CUST-1066","complaint","closed","3.8","customer66@example.com","+1-555-2066","sample row 66"
"INC-0067","2026-06-12","CUST-1067","request","open","","customer67@example.com","+1-555-2067","sample row 67"
"INC-0068","2026-06-13","CUST-1068","operational_failure","closed","4.2","customer68@example.com","+1-555-2068","sample row 68"
"INC-0069","2026-06-14","CUST-1069","complaint","open","","customer69@example.com","+1-555-2069","sample row 69"
"INC-0070","2026-06-15","CUST-1070","request","discarded","","customer70@example.com","+1-555-2070","sample row 70"
"INC-0071","2026-06-16","CUST-1071","operational_failure","open","","customer71@example.com","+1-555-2071","sample row 71"
"INC-0072","2026-06-17","CUST-1072","complaint","closed","3.6","customer72@example.com","+1-555-2072","sample row 72"
"INC-0073","2026-06-18","CUST-1073","request","open","","customer73@example.com","+1-555-2073","sample row 73"
"INC-0074","2026-06-19","CUST-1074","operational_failure","closed","4","customer74@example.com","+1-555-2074","sample row 74"
"INC-0075","2026-06-20","CUST-1075","complaint","discarded","","customer75@example.com","+1-555-2075","sample row 75"
"INC-0076","2026-06-21","CUST-1076","request","closed","4.4","customer76@example.com","+1-555-2076","sample row 76"
"INC-0077","2026-06-22","CUST-1077","operational_failure","open","","customer77@example.com","+1-555-2077","sample row 77"
"INC-0078","2026-06-23","CUST-1078","complaint","closed","3.4","customer78@example.com","+1-555-2078","sample row 78"
"INC-0079","2026-06-24","CUST-1079","request","open","","customer79@example.com","+1-555-2079","sample row 79"
"INC-0080","2026-06-25","CUST-1080","operational_failure","discarded","","customer80@example.com","+1-555-2080","sample row 80"
"INC-0081","2026-06-26","CUST-1081","unknown","open","","customer81@example.com","+1-555-2081","invalid category"
"INC-0082","2026-06-27","CUST-1082","unknown","open","","customer82@example.com","+1-555-2082","invalid category"
"INC-0083","2026-06-28","CUST-1083","unknown","open","","customer83@example.com","+1-555-2083","invalid category"
"INC-0084","2026-06-01","CUST-1084","unknown","open","","customer84@example.com","+1-555-2084","invalid category"
